time,c,cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat66_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,n,ram_limit_mb,ram_usage_mb,t_norm,sin_day,cos_day,is_gap,time_since_last_obs,time_to_next_obs
1647575150,31.0,0.9,0.258153,13214.0,9328.0,9875.0,10203.0,10393.0,11001.0,11600.0,12250.0,12615.0,500.0,512.0,39.071743,0.0,0.8334842217000437,0.552543258195295,0.0,0.0,0.0
1647575478,10.999998,0.8,0.79988015,9103.0,6827.0,7078.0,7203.0,7294.0,7695.0,8119.0,8491.0,8587.0,600.0,128.0,32.99328,0.0010158667232413581,0.846425596706649,0.5325070039349653,0.0,0.0,0.0
1647575491,10.999998,0.8,0.7999699,9212.0,6884.0,7085.0,7203.0,7291.0,7501.0,7804.9995,8315.0,8511.0,600.0,640.0,34.091007,0.001056129733613729,0.8469286434102706,0.5317065666053398,0.0,0.0,0.0
1647575493,11.0,0.8,0.80008304,8793.0,6791.0,6921.0,7103.0,7199.9995,7405.0,7678.0005,7977.0005,8200.0,600.0,1024.0,33.3824,0.0010623240429017862,0.8470059680373869,0.5315833802039424,0.0,0.0,0.0
1647575500,11.0,0.8,0.7999878,8104.0,6795.0,6923.0,7021.0005,7104.0,7380.0,7511.0005,7688.9995,7909.0005,600.0,895.99994,33.304577,0.0010840041254099857,0.8472764631208279,0.531152139260928,0.0,0.0,0.0
1647575504,10.999998,0.8,0.7999821,8011.9995,6811.0,6999.0,7108.999,7199.0,7405.9995,7603.0,7786.0,7902.9995,600.0,768.0,33.394688,0.0010963927439861,0.8474309331664164,0.5309056540598307,0.0,0.0,0.0
1647575528,10.999996,0.8,0.799943,8327.0,6801.0,6928.0,7093.0,7183.0005,7396.0,7578.0,7727.0,7893.001,600.0,384.0,32.80896,0.0011707244554427848,0.848356247153269,0.5294258001986885,0.0,0.0,0.0
1647575529,10.999998,0.8,0.7999331,8204.0,6887.0,7020.0,7190.0,7281.0005,7502.0,7693.0,7898.0,8085.0005,600.0,512.0,33.046528,0.0011738216100868133,0.8483947458406307,0.5293641045915484,0.0,0.0,0.0
1647575532,11.0,0.8,0.79987204,8006.0005,6788.0,6997.0,7100.0005,7188.0,7414.0,7621.0,7810.0,7970.999,600.0,256.0,34.156544,0.0011831130740188988,0.8485102149815037,0.5291790009741906,0.0,0.0,0.0
1647575868,21.0,0.8,0.799798,15108.0,13312.0,13679.0,13796.0,13911.0,14203.0,14405.0,14592.0,14712.0,600.0,128.00006,34.83648,0.0022237570344124853,0.8611859216380057,0.5082900828980423,0.0,0.0,0.0
1647575887,21.0,0.8,0.799814,15291.0,13492.0,13788.0,13912.0,14099.0,14394.0,14599.0,14926.0,15105.0,600.0,640.0,34.28352,0.002282602972649027,0.8618874134098069,0.5070996811335544,0.0,0.0,0.0
1647575892,21.0,0.8,0.8000289,15387.0,13403.0,13688.0,13886.0,13978.0,14283.0,14492.0,14687.0,14892.0,600.0,896.0,33.87392,0.00229808874586917,0.8620717430769583,0.5067862565108241,0.0,0.0,0.0
1647575895,21.0,0.8,0.7999121,15196.0,13382.0,13694.0,13813.0,13911.0,14180.0,14403.0,14700.0,14815.0,600.0,768.0,33.746944,0.0023073802098012557,0.8621822861700442,0.5065981695728835,0.0,0.0,0.0
1647575922,21.0,0.8,0.79994106,15895.0,13422.0,13771.0,13972.0,14028.0,14392.001,14620.0,14986.0,15383.0,600.0,384.0,33.296383,0.0023910033851900258,0.8631753267195234,0.5049043031532253,0.0,0.0,0.0
1647575926,21.0,0.79999995,0.799894,15506.0,13401.0,13700.001,13907.0,14081.0,14378.0,14596.0,14911.0,15104.0,600.0,255.99997,33.1776,0.00240339200376614,0.863322160906544,0.5046531942707341,0.0,0.0,0.0
1647575931,21.0,0.8,0.7999941,15994.0,13713.0,14031.0,14208.0,14308.0,14605.0,14881.0,15116.0,15204.0,600.0,512.0,34.349056,0.002418877776986283,0.863505600911143,0.5043392481208316,0.0,0.0,0.0
