time,c,cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat66_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,n,ram_limit_mb,ram_usage_mb,t_norm,sin_day,cos_day,is_gap,time_since_last_obs,time_to_next_obs
1647563471,31.0,1.5,0.01347534,11054.0,9431.0,9647.0,9774.0,9841.0,10119.0,10393.0,10624.0,10784.0,600.0,512.0,34.316288,0.0,0.13564352285936365,0.9907577073665899,0.0,0.0,0.0
1647563472,51.0,0.90000004,0.00900038,36288.0,31224.002,31874.002,32307.0,32536.002,33389.0,34013.0,34603.0,35218.0,800.0,640.0,35.28704,1.6435204207412276e-05,0.13571557243430438,0.9907478404714436,0.0,0.0,0.0
1647563473,51.0,0.9,0.0090011,36204.0,31310.0,31988.998,32393.0,32677.0,33409.0,34106.0,34877.0,35109.0,800.0,896.0,36.728832,3.287040841482455e-05,0.13578762129151373,0.9907379683367306,0.0,0.0,0.0
1647563474,51.0,0.9,0.00900025,35909.0,31440.0,32097.684,32480.0,32691.0,33518.0,34123.0,34902.0,35285.996,800.0,512.0,36.511745,4.930561262223683e-05,0.13585966943061067,0.9907280909625028,0.0,0.0,0.0
1647563475,50.999996,0.90000004,0.00900014,36855.004,31417.998,32097.684,32605.998,32895.0,33707.0,34342.027,34929.0,35287.0,800.0,768.0,36.03661,6.57408168296491e-05,0.1359317168512142,0.9907182083488126,0.0,0.0,0.0
1647563618,1.0,0.9,0.009000169,268.0,149.99902,165.0,171.99902,178.0,191.0,209.0,227.99707,237.99902,900.0,640.0,34.664448,0.0024159750184896047,0.14622691084519412,0.9892510755842885,0.0,0.0,0.0
1647563627,26.207016,1.1191487,0.010146207,11352.269,10840.594,10148.96,11582.054,11044.709,10598.276,10812.978,12608.923,12642.599,845.4058,928.4013,36.622597,0.0025638918563563153,0.14687434279440614,0.989155158419907,0.0,0.0,0.0
1647563629,17.999851,1.1136364,0.010324396,7202.2524,7844.13,9014.756,9379.906,7661.486,7804.0225,8174.0957,9188.263,8967.814,854.94745,723.55145,35.556114,0.0025967622647711398,0.1470182080264725,0.9891337859504572,0.0,0.0,0.0
1647563632,26.50034,1.0722623,0.010229884,11472.152,11694.214,12869.12,12993.68,13341.081,11933.217,12414.082,13940.846,13153.495,868.4297,337.01605,35.29336,0.0026460678773933765,0.1472340000423311,0.9891016880136919,0.0,0.0,0.0
1647563636,1.0000038,0.90000004,0.008999381,292.00098,178.0,188.00098,193.0,198.0,213.0,237.00098,262.00098,270.00098,899.99994,1023.99994,33.374207,0.002711808694223026,0.1475217118273157,0.9890588175328798,0.0,0.0,0.0
