index,unit1_rgb,unit1_pwr_60ghz,unit1_lidar,unit1_radar,unit1_loc,unit2_loc,unit1_beam,unit1_max_pwr,time_stamp,seq_index,unit2_spd_over_grnd_kmph,unit2_num_sats,unit2_altitude,unit2_geo_sep,unit2_mode_fix_type,unit2_pdop,unit2_hdop,unit2_vdop,unit2_interpolated_position
1,./unit1/camera_data/image_1.jpg,./unit1/mmWave_data/mmWave_power_1.txt,./unit1/lidar_data/lidar_data_1.ply,./unit1/radar_data/radar_data_1.npy,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/GPS_location_1.txt,3,0.419047803,04:09:06-325991,1,7.997,12.0,355.907,-27.749,3.0,1.06,0.59,0.88,0
2,./unit1/camera_data/image_2.jpg,./unit1/mmWave_data/mmWave_power_2.txt,./unit1/lidar_data/lidar_data_2.ply,./unit1/radar_data/radar_data_2.npy,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/GPS_location_2.txt,2,0.530836165,04:09:06-418775,1,7.676,12.0,355.905,-27.749,3.0,1.06,0.59,0.88,0
3,./unit1/camera_data/image_3.jpg,./unit1/mmWave_data/mmWave_power_3.txt,./unit1/lidar_data/lidar_data_3.ply,./unit1/radar_data/radar_data_3.npy,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/GPS_location_3.txt,4,0.55849576,04:09:06-510460,1,7.56,12.0,355.9,-27.749,3.0,1.06,0.59,0.88,0
4,./unit1/camera_data/image_4.jpg,./unit1/mmWave_data/mmWave_power_4.txt,./unit1/lidar_data/lidar_data_4.ply,./unit1/radar_data/radar_data_4.npy,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/GPS_location_4.txt,3,0.458776295,04:09:06-601724,1,7.347,12.0,355.897,-27.749,3.0,1.06,0.59,0.88,0
5,./unit1/camera_data/image_5.jpg,./unit1/mmWave_data/mmWave_power_5.txt,./unit1/lidar_data/lidar_data_5.ply,./unit1/radar_data/radar_data_5.npy,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/GPS_location_5.txt,3,0.392710268,04:09:06-693246,1,7.365,12.0,355.89,-27.749,3.0,1.06,0.59,0.88,0
6,./unit1/camera_data/image_6.jpg,./unit1/mmWave_data/mmWave_power_6.txt,./unit1/lidar_data/lidar_data_6.ply,./unit1/radar_data/radar_data_6.npy,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/GPS_location_6.txt,3,0.489584565,04:09:06-784157,1,6.925,12.0,355.883,-27.749,3.0,1.06,0.59,0.88,0
7,./unit1/camera_data/image_7.jpg,./unit1/mmWave_data/mmWave_power_7.txt,./unit1/lidar_data/lidar_data_7.ply,./unit1/radar_data/radar_data_7.npy,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/GPS_location_7.txt,4,0.515461922,04:09:06-876335,1,6.558,12.0,355.881,-27.749,3.0,1.06,0.59,0.88,0
8,./unit1/camera_data/image_8.jpg,./unit1/mmWave_data/mmWave_power_8.txt,./unit1/lidar_data/lidar_data_8.ply,./unit1/radar_data/radar_data_8.npy,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/GPS_location_8.txt,4,0.44014138,04:09:06-969449,1,6.022,12.0,355.884,-27.749,3.0,1.06,0.59,0.88,0
9,./unit1/camera_data/image_9.jpg,./unit1/mmWave_data/mmWave_power_9.txt,./unit1/lidar_data/lidar_data_9.ply,./unit1/radar_data/radar_data_9.npy,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/GPS_location_9.txt,3,0.512206733,04:09:07-060320,1,5.898,12.0,355.894,-27.749,3.0,1.06,0.59,0.88,0
10,./unit1/camera_data/image_10.jpg,./unit1/mmWave_data/mmWave_power_10.txt,./unit1/lidar_data/lidar_data_10.ply,./unit1/radar_data/radar_data_10.npy,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/GPS_location_10.txt,4,0.474436551,04:09:07-239710,1,5.554,12.0,355.902,-27.749,3.0,1.06,0.59,0.88,0
11,./unit1/camera_data/image_11.jpg,./unit1/mmWave_data/mmWave_power_11.txt,./unit1/lidar_data/lidar_data_11.ply,./unit1/radar_data/radar_data_11.npy,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/GPS_location_11.txt,4,0.475414187,04:09:07-333594,1,5.213,12.0,355.901,-27.749,3.0,1.06,0.59,0.88,0
12,./unit1/camera_data/image_12.jpg,./unit1/mmWave_data/mmWave_power_12.txt,./unit1/lidar_data/lidar_data_12.ply,./unit1/radar_data/radar_data_12.npy,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/GPS_location_12.txt,3,0.507746696,04:09:07-423928,1,,,,,,,,,1
13,./unit1/camera_data/image_13.jpg,./unit1/mmWave_data/mmWave_power_13.txt,./unit1/lidar_data/lidar_data_13.ply,./unit1/radar_data/radar_data_13.npy,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/GPS_location_13.txt,4,0.377748668,04:09:07-516001,1,,,,,,,,,1
14,./unit1/camera_data/image_14.jpg,./unit1/mmWave_data/mmWave_power_14.txt,./unit1/lidar_data/lidar_data_14.ply,./unit1/radar_data/radar_data_14.npy,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/GPS_location_14.txt,4,0.338281959,04:09:07-606502,1,4.77,12.0,355.905,-27.749,3.0,1.06,0.59,0.88,0
