time,cpu_limit,cpu_usage,lat50_ms,lat75_ms,lat95_ms,lat99_ms,min_ms,n,ram_limit_mb,ram_usage_mb,t_norm,sin_day,cos_day,is_gap,time_since_last_obs,time_to_next_obs
1647991499.0,2.5,0.01145732,21898.42,23998.975,26061.338,27119.572,12934.633,300.0,2560.0,862.3718,0.0,-0.15219526146492485,0.9883504451294709,1.0,0.0,1.15
1647991568.0,1.4999999,0.00948823,53350.254,53578.6,53879.125,54018.895,52289.094,350.0,2304.0,1089.7612,0.00038299502106472615,-0.14723400004233073,0.989101688013692,0.0,0.0,0.0
1647991637.0,0.6897998,0.0048148925,18128.223,24018.596,22665.0,26408.709,17858.12,50.0,3779.2573,319.06372,0.0007659900421294523,-0.1422690314912981,0.9898280268200775,1.0,1.15,1.15
1647991706.0,1.5,0.00950776,53263.33,53610.727,53957.242,54189.79,51819.46,350.0,2304.0,1083.8712,0.0011489850631941786,-0.13730048082219037,0.9905294432605198,0.0,0.0,0.0
1647991775.0,1.5249684,0.009964481,19222.186,24283.361,24802.104,26531.615,17319.219,188.22168,1616.5459,566.2626,0.0015319800842589046,-0.13232847313556684,0.9912059196744184,1.0,1.15,2.3
1647991844.0,1.780699,0.008355054,19811.086,23720.883,23278.555,23326.355,18893.518,168.74045,2710.3137,650.77563,0.0019149751053236309,-0.1273531336190257,0.991857439029125,1.0,2.3,1.15
1647991913.0,1.4999999,0.00950776,58992.656,59281.867,59658.367,60002.094,57692.816,400.0,2304.0,1331.8267,0.002297970126388357,-0.12237458754405901,0.9924839849203722,0.0,0.0,0.0
1647991982.0,2.0254562,0.010293917,14338.814,17349.697,19024.938,18153.07,14085.284,175.07106,2641.5874,649.3999,0.002680965147453083,-0.11739296026289171,0.993085541572686,1.0,1.15,1.15
1647992051.0,1.5,0.00958408,60366.29,60654.203,61146.344,61339.96,58276.863,400.0,2304.0,1260.7898,0.003063960168517809,-0.11240837720533225,0.993662093839784,0.0,0.0,0.0
1647992120.0,2.1496022,0.011440214,13738.254,17552.473,18455.748,19341.525,14529.189,167.3472,2770.0142,593.57715,0.0034469551895825352,-0.10742096387560758,0.9942136272049561,1.0,1.15,1.15
1647992189.0,1.5,0.00958408,60210.57,60490.85,60885.977,61134.79,59351.727,400.0,2304.0,1180.119,0.0038299502106472617,-0.10243084584921007,0.9947401277814298,0.0,0.0,0.0
1647992258.0,2.2485914,0.01342652,17739.504,21772.547,21981.209,21996.791,17871.453,204.41159,3024.5752,695.0577,0.004212945231711987,-0.09743814876972876,0.9952415823127208,1.0,1.15,1.15
1647992327.0,1.5,0.00933047,65904.375,66331.37,66730.664,66948.97,64433.96,450.0,2304.0,1327.0466,0.004595940252776714,-0.09244299834569282,0.9957179781729655,0.0,0.0,0.0
1647992396.0,2.6947687,0.016439786,19838.57,22852.084,26362.816,24403.8,19122.691,266.86594,2466.3804,769.0646,0.00497893527384144,-0.08744552034739855,0.9961693033672402,1.0,1.15,2.3
1647992465.0,2.3716471,0.013693163,18897.219,19743.516,19485.564,23512.508,17746.516,256.5596,2480.1445,762.28613,0.005361930294906166,-0.08244584060375229,0.996595546531862,1.0,2.3,1.15
1647992534.0,2.8721595,0.016986433,24014.227,26729.602,26446.125,25413.535,25505.445,248.11293,2449.975,817.63043,0.005744925315970892,-0.07744408499909435,0.9969966969346754,0.0,0.0,0.0
1647992603.0,2.3336163,0.0128187435,14731.547,16025.031,17661.604,18562.977,13879.568,249.11646,2684.6472,801.83673,0.006127920337035618,-0.07244037947003028,0.997372744475323,1.0,1.15,1.15
1647992672.0,1.4999998,0.00986981,65622.09,65967.91,66379.58,66673.914,64403.605,450.00003,2304.0,1331.2164,0.0065109153581003444,-0.06743485000226532,0.9977236796854989,0.0,0.0,0.0
1647992741.0,2.3431332,0.013244912,15996.793,18189.273,19780.822,19591.627,14634.877,254.68352,2895.8535,806.97906,0.0068939103791650705,-0.062427622627425156,0.9980494937291876,1.0,1.15,1.15
1647992810.0,1.4999999,0.00984922,69710.875,70010.39,70318.875,70527.47,68822.695,500.0,2304.0,1419.8579,0.007276905400229797,-0.05741882341988977,0.9983501784028866,0.0,0.0,0.0
1647992879.0,2.4253886,0.0146504855,22508.379,24307.217,25495.818,25499.262,21204.492,278.23386,3006.4355,817.3799,0.0076599004212945234,-0.052408578493611926,0.9986257261358126,1.0,1.15,1.15
1647992948.0,1.4999999,0.00992957,69658.69,69867.555,70280.41,70460.46,68747.33,500.0,2304.0,1441.2227,0.00804289544235925,-0.04739701399894896,0.9988761299900921,0.0,0.0,0.0
1647993017.0,2.595476,0.016823832,21081.791,22505.621,25619.947,24766.82,19516.496,306.04453,2741.817,843.2981,0.008425890463423975,-0.042384256119479366,0.9991013836609368,1.0,1.15,2.3
1647993086.0,2.5928588,0.016144108,28005.336,27943.875,26988.396,31092.756,27443.41,321.6723,2460.6565,880.40454,0.008808885484488702,-0.03737043106883282,0.9993014814768012,1.0,2.3,1.15
1647993155.0,1.4999999,0.00997968,69589.625,69798.48,70059.48,70386.09,68559.375,500.0,2304.0,1391.2922,0.009191880505553428,-0.03235566508750518,0.9994764183995264,0.0,0.0,0.0
1647993224.0,2.6589873,0.016505424,21788.197,23460.143,25212.297,25251.547,20033.578,314.55527,2703.651,895.0309,0.009574875526618154,-0.027340084439687086,0.9996261900244665,1.0,1.15,1.15
1647993293.0,1.4999999,0.00997968,73625.11,73910.66,74244.03,74481.555,72530.6,550.00006,2304.0,1684.4963,0.00995787054768288,-0.022323815410076782,0.9997507925805995,0.0,0.0,0.0
1647993362.0,2.833658,0.017583167,19623.533,19812.918,22385.213,22083.846,17410.594,337.0369,2631.3772,926.33435,0.010340865568747606,-0.01730698430071025,0.9998502229306222,1.0,1.15,1.15
1647993431.0,1.4999999,0.01007033,70992.33,71334.23,71757.38,71977.18,69862.49,550.0,2304.0,1857.7981,0.010723860589812333,-0.012289717427773125,0.9999244785710296,0.0,0.0,0.0
1647993500.0,3.0123243,0.018522592,16040.93,16445.629,18697.273,19886.998,14217.698,345.39847,2573.0618,947.77704,0.011106855610877058,-0.007272141118421135,0.9999735576321774,1.0,1.15,1.15
1647993569.0,1.4999999,0.01007033,73724.03,73958.65,74277.28,74528.01,72595.29,550.0,2304.0,1493.0208,0.011489850631941785,-0.002254381707604695,0.9999974588783296,0.0,0.0,0.0
1647993638.0,2.9445724,0.019271482,19674.5,18693.857,23630.162,23690.15,16424.852,379.72205,2520.3833,1007.8155,0.011872845653006512,0.002763434465118793,0.9999961817076888,1.0,1.15,2.3
1647993707.0,3.0243373,0.018763224,21198.09,20586.33,21489.393,25775.729,20693.49,373.6068,2457.4272,1044.1577,0.012255840674071237,0.007781181058760699,0.9999697261524124,1.0,2.3,1.15
1647993776.0,1.4999999,0.01015274,76835.73,77029.55,77369.86,77730.27,75578.914,600.0,2304.0,1713.3733,0.012638835695135964,0.012798731734084913,0.9999180928786112,0.0,0.0,0.0
1647993845.0,3.169863,0.019549651,21035.086,21692.871,24469.03,25041.705,18971.975,399.33594,2404.9246,1107.9475,0.013021830716200689,0.017815960156788227,0.9998412831863324,1.0,1.15,1.15
1647993914.0,1.4999999,0.01032579,76122.3,76402.72,76743.445,76954.836,75063.22,600.0,2304.0,1723.2241,0.013404825737265416,0.022832740000681254,0.9997392990095274,0.0,0.0,0.0
1647993983.0,3.2374964,0.019557336,20625.76,20986.16,22985.256,24506.527,17770.123,405.8522,2323.2979,1138.8069,0.013787820758330141,0.027848944950869144,0.999612142916003,1.0,1.15,1.15
1647994052.0,1.4999999,0.01032579,77110.6,77367.44,77814.42,78140.05,75985.266,600.0,2304.0,1759.617,0.014170815779394868,0.03286444870693201,0.9994598181073562,0.0,0.0,0.0
1647994121.0,2.8268232,0.019900769,10954.552,22895.746,24912.424,21021.924,21663.281,391.64365,3021.5806,1452.6804,0.014553810800459595,0.03787912498610494,0.9992823284188943,1.0,1.15,8.05
1647994190.0,3.0032377,0.020391997,12736.633,25594.3,23426.95,19622.988,20892.885,403.64346,2958.6912,1542.905,0.01493680582152432,0.04289284752645765,0.9990796783195383,1.0,2.3,6.9
1647994259.0,2.983234,0.019667692,15264.033,21850.033,22815.33,22002.367,18350.64,375.9195,3012.6228,1446.7643,0.015319800842589047,0.04790549009007357,0.9988518729117095,1.0,3.45,5.75
1647994328.0,2.9474056,0.020483982,15724.851,16525.89,17785.555,22098.924,14521.781,345.8799,2920.6216,1329.6227,0.015702795863653772,0.05291692646622826,0.9985989179312021,1.0,4.6,4.6
1647994397.0,2.6791596,0.020001262,16865.055,15927.156,17227.385,24179.871,12966.328,299.0921,2765.799,1191.5818,0.0160857908847185,0.05792703047456728,0.9983208197470383,1.0,5.75,3.45
