time,cpu_limit,cpu_usage,n,ram_limit_mb,ram_usage_mb,mean_ms,lat50_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,lat100_ms,t_norm,sin_day,cos_day,is_gap,time_since_last_obs,time_to_next_obs
1636553178.0,2.0,0.0037,10.0,2048.0,75.722752,194.402,210.678,213.1,213.1,214.159,214.159,214.159,214.159,215.513,0.0,-0.5236142201106393,-0.8519554850448039,0.0,0.0,0.0
1636553191.0,2.0,0.0037,20.0,2048.0,140.255232,301.621,304.027,308.525,308.525,309.958,310.981,310.981,310.981,314.733,8.977733150003418e-06,-0.5244194133793777,-0.8514600864813507,0.0,0.0,0.0
1636553204.0,2.0,0.052663,30.0,2048.0,184.23808,465.659,465.392,475.688,476.531,478.613,478.834,480.902,480.902,481.993,1.7955466300006837e-05,-0.5252241379203859,-0.8509639269356766,0.0,0.0,0.0
1636553217.0,2.0,0.120889,50.0,2048.0,305.606656,862.765,863.232,871.812,874.362,884.286,885.768,887.802,887.802,889.625,2.6933199450010257e-05,-0.5260283930516074,-0.8504670068283329,0.0,0.0,0.0
1636553230.0,2.0,0.120889,60.0,2048.0,356.622336,930.602,927.03,956.987,958.417,971.579,976.495,978.193,978.334,979.635,3.5910932600013674e-05,-0.5268321780294757,-0.8499693266187427,0.0,0.0,0.0
1636553243.0,2.0,0.249958,70.0,2048.0,412.884992,1089.852,1100.366,1133.929,1136.912,1142.426,1158.717,1160.431,1160.482,1162.252,4.488866575001709e-05,-0.527635492172709,-0.8494708867287113,0.0,0.0,0.0
1636553256.0,2.0,0.249958,80.0,2048.0,417.267712,1123.452,1125.48,1161.466,1163.293,1170.952,1174.216,1177.061,1186.484,1187.393,5.3866398900020514e-05,-0.5284383347138805,-0.8489716876344116,0.0,0.0,0.0
1636553269.0,2.0,0.399306,90.0,2048.0,421.892096,2462.652,2459.078,2502.407,2511.058,2521.22,2531.593,2535.056,2536.014,2538.04,6.284413205002393e-05,-0.5292407049725291,-0.8484717297589711,0.0,0.0,0.0
1636553282.0,2.0,0.240794,100.0,2048.0,421.892096,1386.847,1383.786,1421.989,1423.44,1442.011,1442.953,1450.17,1450.447,1450.452,7.182186520002735e-05,-0.5300426022068306,-0.8479710135646216,0.0,0.0,0.0
1636553295.0,2.0,0.22512107,94.0,1979.7333,423.6408,1306.5681,1303.8047,1339.5698,1340.9242,1358.2964,1359.1757,1365.9115,1366.17,1366.2079,8.079959835003076e-05,-0.5308440257371035,-0.8474695394757416,1.0,1.0,14.0
1636553308.0,2.0,0.20944813,88.0,1911.4667,425.38953,1226.2892,1223.8235,1257.1508,1258.4083,1274.5818,1275.3982,1281.6528,1281.8928,1281.9637,8.977733150003419e-05,-0.5316449748100519,-0.8469673079636658,1.0,2.0,13.0
1636553321.0,2.0,0.1937752,82.0,1843.2,427.13824,1146.0103,1143.8422,1174.7316,1175.8925,1190.8672,1191.621,1197.3944,1197.616,1197.7196,9.87550646500376e-05,-0.5324454487098449,-0.8464643194773019,1.0,3.0,12.0
1636553334.0,2.0,0.17810227,76.0,1774.9333,428.88696,1065.7313,1063.8611,1092.3126,1093.3767,1107.1526,1107.8434,1113.1359,1113.3389,1113.4755,0.0001077327978,-0.5332454467580071,-0.8459605744429545,1.0,4.0,11.0
1636553347.0,2.0,0.16242933,70.0,1706.6666,430.63568,985.4524,983.87964,1009.8932,1010.8606,1023.438,1024.066,1028.8772,1029.062,1029.2313,0.00011671053095,-0.5340449681902795,-0.845456073341864,1.0,5.0,10.0
1636553360.0,2.0,0.14675644,64.0,1638.4,432.3844,905.17334,903.89844,927.4741,928.3447,939.7234,940.2886,944.6188,944.7849,944.98706,0.0001256882641,-0.5348440123290162,-0.8449508166016524,1.0,6.0,9.0
1636553373.0,2.0,0.13108346,58.000004,1570.1333,434.13312,824.89453,823.91724,845.05505,845.82886,856.0088,856.5112,860.3605,860.5082,860.74304,0.00013466599725,-0.535642578435468,-0.84444480468945,1.0,7.0,8.0
1636553386.0,2.0,0.11541054,52.0,1501.8667,435.88184,744.61536,743.9359,762.636,763.313,772.2942,772.7339,776.1018,776.23096,776.499,0.0001436437304,-0.5364406658327768,-0.8439380380341244,1.0,8.0,7.0
1636553399.0,2.0,0.099737614,46.0,1433.5999,437.63055,664.33655,663.9546,680.2168,680.797,688.5796,688.9564,691.84326,691.954,692.2549,0.00015262146355,-0.5372382737585087,-0.8434305171198025,1.0,9.0,6.0
1636553412.0,2.0,0.08406463,40.0,1365.3334,439.37927,584.0576,583.9734,597.7976,598.28125,604.865,605.17896,607.5847,607.677,608.01074,0.0001615991967,-0.5380354015366399,-0.8429222423766659,1.0,10.0,5.0
